Currency Name,Currency Code,Buying Rate (Cash),Buying Rate (Transfer),Selling Rate,icon,Date
US DOLLAR,USD,25221.0,25251.0,25551.0,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_usa.svg?h=32&w=32&ts=20230610195953&hash=4576D9B7C910424CC72B7A592BA369AE,2025-01-01
EURO,EUR,25852.23,26113.36,27291.04,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_eur.svg?h=32&w=32&ts=20230610195955&hash=10502813C2316A5601FD57F7A0C89A3A,2025-01-01
UK POUND STERLING,GBP,31151.17,31465.83,32500.66,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_gbp.svg?h=32&w=32&ts=20230610195950&hash=72ED63A02E20F8B413E65DE9B7F062AE,2025-01-01
JAPANESE YEN,JPY,156.86,158.45,166.12,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_jpy.svg?h=32&w=32&ts=20230610195953&hash=C5D3E7B6B5EEE49C3D5C3C3A8B6798B8,2025-01-01
AUSTRALIAN DOLLAR,AUD,15423.02,15578.81,16091.15,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_aud.svg?h=32&w=32&ts=20230610195950&hash=F70700292015EB326CA79643D4F05C03,2025-01-01
SINGAPORE DOLLAR,SGD,18234.42,18418.61,19024.34,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sgd.svg?h=32&w=32&ts=20230709003433&hash=C95A1CFD98A6896023B5EFE9D23459AA,2025-01-01
THAI BAHT,THB,658.02,731.13,759.73,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_thb.svg?h=32&w=32&ts=20230610195952&hash=AB6CDBA1C854ADE46132EBF0A6DCFEF4,2025-01-01
CANADIAN DOLLAR,CAD,17271.11,17445.56,18019.3,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cad.svg?h=32&w=32&ts=20230610195951&hash=55B303641110059C97F6ABDE45B2FE20,2025-01-01
SWISS FRANC,CHF,27463.64,27741.05,28653.38,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_chf.svg?h=32&w=32&ts=20230610195952&hash=CBA2E48794BD6E04AAF8761C55AB07DF,2025-01-01
HONG KONG DOLLAR,HKD,3195.17,3227.45,3333.59,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_hkd.svg?h=32&w=32&ts=20230610195951&hash=E50E43ECCD43C736E273734DEEB000D8,2025-01-01
CHINESE YUAN,CNY,3399.42,3433.76,3546.69,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cny.svg?h=32&w=32&ts=20230610195953&hash=1E37E5E1D30CA9F186D9B8A0A188AE7C,2025-01-01
